UNI Speed,service_BW,QOS_type,AR15_CIR,AR5_CIR
1G,FF_10000_Mbps,Business2,9900000,9990000
1G,FF_1000_Mbps,Business2,984375,1001250
1G,FF_100_Mbps,Business2,98438,99844
1G,FF_2000_Mbps,Business2,1968750,2002500
1G,FF_200_Mbps,Business2,196875,199688
1G,FF_3000_Mbps,Business2,2962500,3015000
1G,FF_300_Mbps,Business2,295313,300938
1G,FF_4000_Mbps,Business2,3937500,4005000
1G,FF_400_Mbps,Business2,393750,399375
1G,FF_5000_Mbps,Business2,4950000,4995000
1G,FF_500_Mbps,Business2,492188,500625
1G,FF_6000_Mbps,Business2,5925000,6030000
1G,FF_600_Mbps,Business2,590625,601875
1G,FF_7000_Mbps,Business2,6900000,7020000
1G,FF_700_Mbps,Business2,693750,697500
1G,FF_8000_Mbps,Business2,7875000,8010000
1G,FF_800_Mbps,Business2,787500,798750
1G,FF_9000_Mbps,Business2,8850000,9000000
1G,FF_900_Mbps,Business2,890625,900000
